Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/DrawerView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/DrawerView.java|class:com.msapps.touchdetector.DrawerView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/DrawerView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/DrawerView.java|class:com.msapps.touchdetector.DrawerView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/DrawerView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/DrawerView.java|class:com.msapps.touchdetector.DrawerView
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/app/src/main/java/com/msapps/touchdetector/MainActivity.java|class:com.msapps.touchdetector.MainActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/src/main/java/com/msapps/touchdetector/DrawerView.java;file:/src/main/java/com/msapps/touchdetector/DrawerView.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/src/main/java/com/msapps/touchdetector/MainActivity.java;file:/src/main/java/com/msapps/touchdetector/MainActivity.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/src/main/java/com/msapps/touchdetector/DrawerView.java;file:/src/main/java/com/msapps/touchdetector/DrawerView.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/src/main/java/com/msapps/touchdetector/MainActivity.java;file:/src/main/java/com/msapps/touchdetector/MainActivity.java
CollectionOfViews;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/src/main/java/com/msapps/touchdetector/MainActivity.java;file:/src/main/java/com/msapps/touchdetector/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/TouchDetector/NONE_TRANSFORMED_;/src/main/java/com/msapps/touchdetector/MainActivity.java;file:/src/main/java/com/msapps/touchdetector/MainActivity.java
