Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TucanMobile.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TucanMobile.java|class:com.dalthed.tucan.TucanMobile
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TucanMobile.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TucanMobile.java|class:com.dalthed.tucan.TucanMobile
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TucanMobile.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TucanMobile.java|class:com.dalthed.tucan.TucanMobile
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java|class:com.dalthed.tucan.TuCanMobileActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java|class:com.dalthed.tucan.TuCanMobileActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java|class:com.dalthed.tucan.TuCanMobileActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/TuCanMobileActivity.java|class:com.dalthed.tucan.TuCanMobileActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/scraper/VVScraper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/scraper/VVScraper.java|class:com.dalthed.tucan.scraper.VVScraper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/scraper/MainMenuScraper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/scraper/MainMenuScraper.java|class:com.dalthed.tucan.scraper.MainMenuScraper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/scraper/VVEventsScraper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TuCanMobile/app/src/main/java/com/dalthed/tucan/scraper/VVEventsScraper.java|class:com.dalthed.tucan.scraper.VVEventsScraper
