Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/SectionsPagerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/SectionsPagerAdapter.java|class:com.emacberry.uuid0xfd6fscan.ui.main.SectionsPagerAdapter
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/PlaceholderFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/PlaceholderFragment.java|class:com.emacberry.uuid0xfd6fscan.ui.main.PlaceholderFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/PlaceholderFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/PlaceholderFragment.java|class:com.emacberry.uuid0xfd6fscan.ui.main.PlaceholderFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/PlaceholderFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ui/main/PlaceholderFragment.java|class:com.emacberry.uuid0xfd6fscan.ui.main.PlaceholderFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings02Expert.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings02Expert.java|class:com.emacberry.uuid0xfd6fscan.settings.Settings02Expert
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings02Expert.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings02Expert.java|class:com.emacberry.uuid0xfd6fscan.settings.Settings02Expert
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings01.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings01.java|class:com.emacberry.uuid0xfd6fscan.settings.Settings01
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings01.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/settings/Settings01.java|class:com.emacberry.uuid0xfd6fscan.settings.Settings01
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java|class:com.emacberry.uuid0xfd6fscan.ScannerService
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java|class:com.emacberry.uuid0xfd6fscan.ScannerService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java|class:com.emacberry.uuid0xfd6fscan.ScannerService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java|class:com.emacberry.uuid0xfd6fscan.ScannerService
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerService.java|class:com.emacberry.uuid0xfd6fscan.ScannerService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/UUIDFD6FBeacon.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/UUIDFD6FBeacon.java|class:com.emacberry.uuid0xfd6fscan.UUIDFD6FBeacon
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/UUIDFD6FBeacon.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/UUIDFD6FBeacon.java|class:com.emacberry.uuid0xfd6fscan.UUIDFD6FBeacon
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java|class:com.emacberry.uuid0xfd6fscan.ScannerActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java|class:com.emacberry.uuid0xfd6fscan.ScannerActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java|class:com.emacberry.uuid0xfd6fscan.ScannerActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UUID0xFD6FTracer/app/src/main/java/com/emacberry/uuid0xfd6fscan/ScannerActivity.java|class:com.emacberry.uuid0xfd6fscan.ScannerActivity
