Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/nmea/util/NmeaParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/nmea/util/NmeaParser.java|class:org.broeuschmeul.android.gps.nmea.util.NmeaParser
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/nmea/util/NmeaParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/nmea/util/NmeaParser.java|class:org.broeuschmeul.android.gps.nmea.util.NmeaParser
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/GpsInfoActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/GpsInfoActivity.java|class:org.broeuschmeul.android.gps.usb.provider.ui.GpsInfoActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/GpsInfoActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/GpsInfoActivity.java|class:org.broeuschmeul.android.gps.usb.provider.ui.GpsInfoActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/GpsInfoActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/GpsInfoActivity.java|class:org.broeuschmeul.android.gps.usb.provider.ui.GpsInfoActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java|class:org.broeuschmeul.android.gps.usb.provider.ui.USBGpsSettingsFragment
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java|class:org.broeuschmeul.android.gps.usb.provider.ui.USBGpsSettingsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java|class:org.broeuschmeul.android.gps.usb.provider.ui.USBGpsSettingsFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsSettingsFragment.java|class:org.broeuschmeul.android.gps.usb.provider.ui.USBGpsSettingsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsBaseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/UsbGps4Droid/app/src/main/java/org/broeuschmeul/android/gps/usb/provider/ui/USBGpsBaseActivity.java|class:org.broeuschmeul.android.gps.usb.provider.ui.USBGpsBaseActivity
