Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/PlayerControllerView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/PlayerControllerView.java|class:com.nicolasbrailo.vlcfreemote.PlayerControllerView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/PlaylistView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/PlaylistView.java|class:com.nicolasbrailo.vlcfreemote.PlaylistView
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/PlaylistView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/PlaylistView.java|class:com.nicolasbrailo.vlcfreemote.PlaylistView
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/ServerSelectView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/ServerSelectView.java|class:com.nicolasbrailo.vlcfreemote.ServerSelectView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/ServerSelectView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/ServerSelectView.java|class:com.nicolasbrailo.vlcfreemote.ServerSelectView
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/ServerSelectView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/ServerSelectView.java|class:com.nicolasbrailo.vlcfreemote.ServerSelectView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MiniPlayerControllerWidget.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MiniPlayerControllerWidget.java|class:com.nicolasbrailo.vlcfreemote.MiniPlayerControllerWidget
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MainActivity.java|class:com.nicolasbrailo.vlcfreemote.MainActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MainActivity.java|class:com.nicolasbrailo.vlcfreemote.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/VlcFreemote/app/src/main/java/com/nicolasbrailo/vlcfreemote/MainActivity.java|class:com.nicolasbrailo.vlcfreemote.MainActivity
