Issue;Tool;Project;File;Location
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/simulator/Simulator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/simulator/Simulator.java|line:393
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/simulator/SimulatorRunnable.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/simulator/SimulatorRunnable.java|line:81
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java|line:252
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java|line:274
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java|line:615
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java|line:652
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/view/RangeSlider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/ui/view/RangeSlider.java|line:137
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/utils/RollingAverage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/utils/RollingAverage.java|line:36
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/utils/RollingAverage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/utils/RollingAverage.java|line:43
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/utils/RollingAverage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/app/src/main/java/com/dirkgassen/wator/utils/RollingAverage.java|line:49
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java;file:/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/fragment/WatorDisplay.java;file:/src/main/java/com/dirkgassen/wator/ui/fragment/WatorDisplay.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/fragment/NewWorld.java;file:/src/main/java/com/dirkgassen/wator/ui/fragment/NewWorld.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/view/RollingGraphView.java;file:/src/main/java/com/dirkgassen/wator/ui/view/RollingGraphView.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/view/RangeSlider.java;file:/src/main/java/com/dirkgassen/wator/ui/view/RangeSlider.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/simulator/SimulatorRunnable.java;file:/src/main/java/com/dirkgassen/wator/simulator/SimulatorRunnable.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/simulator/WorldObserver.java;file:/src/main/java/com/dirkgassen/wator/simulator/WorldObserver.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/simulator/Simulator.java;file:/src/main/java/com/dirkgassen/wator/simulator/Simulator.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/simulator/WorldHost.java;file:/src/main/java/com/dirkgassen/wator/simulator/WorldHost.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java;file:/src/main/java/com/dirkgassen/wator/ui/activity/MainActivity.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/fragment/WatorDisplay.java;file:/src/main/java/com/dirkgassen/wator/ui/fragment/WatorDisplay.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Wa-Tor/NONE_TRANSFORMED_;/src/main/java/com/dirkgassen/wator/ui/view/RollingGraphView.java;file:/src/main/java/com/dirkgassen/wator/ui/view/RollingGraphView.java
