Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/database/AppDatabase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/database/AppDatabase.java|class:com.danhasting.radar.database.AppDatabase
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/RadarFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/RadarFragment.java|class:com.danhasting.radar.fragments.RadarFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/RadarFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/RadarFragment.java|class:com.danhasting.radar.fragments.RadarFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectMosaicFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectMosaicFragment.java|class:com.danhasting.radar.fragments.SelectMosaicFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectMosaicFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectMosaicFragment.java|class:com.danhasting.radar.fragments.SelectMosaicFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectNWSFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectNWSFragment.java|class:com.danhasting.radar.fragments.SelectNWSFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectNWSFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/fragments/SelectNWSFragment.java|class:com.danhasting.radar.fragments.SelectNWSFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/SelectActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/SelectActivity.java|class:com.danhasting.radar.activities.SelectActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/MainActivity.java|class:com.danhasting.radar.activities.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/MainActivity.java|class:com.danhasting.radar.activities.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WeatherRadar/app/src/main/java/com/danhasting/radar/activities/MainActivity.java|class:com.danhasting.radar.activities.MainActivity
