Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/WhatsAppBetaUpdaterApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/WhatsAppBetaUpdaterApplication.java|class:com.javiersantos.whatsappbetaupdater.WhatsAppBetaUpdaterApplication
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java|class:com.javiersantos.whatsappbetaupdater.utils.UtilsAsync
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsIntent.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsIntent.java|class:com.javiersantos.whatsappbetaupdater.utils.UtilsIntent
RigidAlarmManager;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsApp.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsApp.java|class:com.javiersantos.whatsappbetaupdater.utils.UtilsApp
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsApp.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsApp.java|class:com.javiersantos.whatsappbetaupdater.utils.UtilsApp
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsDialog.java|class:com.javiersantos.whatsappbetaupdater.utils.UtilsDialog
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/models/Version.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/models/Version.java|class:com.javiersantos.whatsappbetaupdater.models.Version
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/models/Version.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/models/Version.java|class:com.javiersantos.whatsappbetaupdater.models.Version
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java|class:com.javiersantos.whatsappbetaupdater.activities.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java|class:com.javiersantos.whatsappbetaupdater.activities.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java|class:com.javiersantos.whatsappbetaupdater.activities.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java|class:com.javiersantos.whatsappbetaupdater.activities.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/SettingsActivity.java|class:com.javiersantos.whatsappbetaupdater.activities.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/SettingsActivity.java|class:com.javiersantos.whatsappbetaupdater.activities.SettingsActivity
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/activities/MainActivity.java|line:160
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java|line:91
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java|line:125
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/WhatsAppBetaUpdater/app/src/main/java/com/javiersantos/whatsappbetaupdater/utils/UtilsAsync.java|line:173
