Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/RPCIntentService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/RPCIntentService.java|class:com.greenaddress.abcore.RPCIntentService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/RPCIntentService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/RPCIntentService.java|class:com.greenaddress.abcore.RPCIntentService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/RPCIntentService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/RPCIntentService.java|class:com.greenaddress.abcore.RPCIntentService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/BitcoinConfEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/BitcoinConfEditActivity.java|class:com.greenaddress.abcore.BitcoinConfEditActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/BitcoinConfEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/BitcoinConfEditActivity.java|class:com.greenaddress.abcore.BitcoinConfEditActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ConsoleActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ConsoleActivity.java|class:com.greenaddress.abcore.ConsoleActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ConsoleActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ConsoleActivity.java|class:com.greenaddress.abcore.ConsoleActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ConsoleActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ConsoleActivity.java|class:com.greenaddress.abcore.ConsoleActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/AppCompatPreferenceActivity.java|class:com.greenaddress.abcore.AppCompatPreferenceActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/AppCompatPreferenceActivity.java|class:com.greenaddress.abcore.AppCompatPreferenceActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ProcessLogger.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ProcessLogger.java|class:com.greenaddress.abcore.ProcessLogger
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ProcessLogger.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/ProcessLogger.java|class:com.greenaddress.abcore.ProcessLogger
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/LogLinesAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/LogLinesAdapter.java|class:com.greenaddress.abcore.LogLinesAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/PowerBroadcastReceiver.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/abcore/app/src/main/java/com/greenaddress/abcore/PowerBroadcastReceiver.java|class:com.greenaddress.abcore.PowerBroadcastReceiver
