Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/AppCompatPreferenceActivity.java|class:com.javierllorente.adc.AppCompatPreferenceActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/AppCompatPreferenceActivity.java|class:com.javierllorente.adc.AppCompatPreferenceActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/WebFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/WebFragment.java|class:com.javierllorente.adc.WebFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/WebFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/WebFragment.java|class:com.javierllorente.adc.WebFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/WebFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/WebFragment.java|class:com.javierllorente.adc.WebFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/AboutActivity.java|class:com.javierllorente.adc.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java|class:com.javierllorente.adc.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java|class:com.javierllorente.adc.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java|class:com.javierllorente.adc.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/App.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/App.java|class:com.javierllorente.adc.App
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/DRAE.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/DRAE.java|class:com.javierllorente.adc.DRAE
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java|line:39
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java|line:40
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/adc/app/src/main/java/com/javierllorente/adc/MainActivity.java|line:41
