Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/GeneratedSetupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/GeneratedSetupActivity.java|class:com.games.boardgames.aeonsend.GeneratedSetupActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/GeneratedSetupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/GeneratedSetupActivity.java|class:com.games.boardgames.aeonsend.GeneratedSetupActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/MainActivity.java|class:com.games.boardgames.aeonsend.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/MainActivity.java|class:com.games.boardgames.aeonsend.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/GeneratedSetupPager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/GeneratedSetupPager.java|class:com.games.boardgames.aeonsend.GeneratedSetupPager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/database/DatabaseHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/database/DatabaseHandler.java|class:com.games.boardgames.aeonsend.database.DatabaseHandler
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/database/DatabaseHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/database/DatabaseHandler.java|class:com.games.boardgames.aeonsend.database.DatabaseHandler
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/ExpansionFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/ExpansionFragment.java|class:com.games.boardgames.aeonsend.fragments.ExpansionFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/ExpansionFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/ExpansionFragment.java|class:com.games.boardgames.aeonsend.fragments.ExpansionFragment
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/CharactersFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/CharactersFragment.java|class:com.games.boardgames.aeonsend.fragments.CharactersFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/CharactersFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/CharactersFragment.java|class:com.games.boardgames.aeonsend.fragments.CharactersFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/CharactersFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/CharactersFragment.java|class:com.games.boardgames.aeonsend.fragments.CharactersFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/PlayersBottomSheetDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/PlayersBottomSheetDialogFragment.java|class:com.games.boardgames.aeonsend.fragments.PlayersBottomSheetDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/SetupFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/aeonsend-randomizer/app/src/main/java/com/games/boardgames/aeonsend/fragments/SetupFragment.java|class:com.games.boardgames.aeonsend.fragments.SetupFragment
