Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|class:net.teknoraver.andhrystone.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|class:net.teknoraver.andhrystone.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|class:net.teknoraver.andhrystone.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|class:net.teknoraver.andhrystone.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|class:net.teknoraver.andhrystone.MainActivity
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|line:120
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|line:158
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|line:186
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|line:196
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/app/src/main/java/net/teknoraver/andhrystone/MainActivity.java|line:196
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/src/main/java/net/teknoraver/andhrystone/MainActivity.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/src/main/java/net/teknoraver/andhrystone/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/src/main/java/net/teknoraver/andhrystone/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/andhrystone/NONE_TRANSFORMED_;/src/main/java/net/teknoraver/andhrystone/MainActivity.java;file:/src/main/java/net/teknoraver/andhrystone/MainActivity.java
