Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/EventDetailsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/EventDetailsFragment.java|class:com.elsdoerfer.android.autostarts.EventDetailsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/HelpActivity.java|class:com.elsdoerfer.android.autostarts.HelpActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/HelpActivity.java|class:com.elsdoerfer.android.autostarts.HelpActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/HelpActivity.java|class:com.elsdoerfer.android.autostarts.HelpActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java|class:com.elsdoerfer.android.autostarts.ReceiverReader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java|class:com.elsdoerfer.android.autostarts.ReceiverReader
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java|class:com.elsdoerfer.android.autostarts.ReceiverReader
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ReceiverReader.java|class:com.elsdoerfer.android.autostarts.ReceiverReader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/MyExpandableListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/MyExpandableListAdapter.java|class:com.elsdoerfer.android.autostarts.MyExpandableListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/LoadTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/LoadTask.java|class:com.elsdoerfer.android.autostarts.LoadTask
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/Utils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/Utils.java|class:com.elsdoerfer.android.autostarts.Utils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/Utils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/Utils.java|class:com.elsdoerfer.android.autostarts.Utils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ListActivity.java|class:com.elsdoerfer.android.autostarts.ListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ListActivity.java|class:com.elsdoerfer.android.autostarts.ListActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/ListActivity.java|class:com.elsdoerfer.android.autostarts.ListActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/DatabaseHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-autostarts/app/src/main/java/com/elsdoerfer/android/autostarts/DatabaseHelper.java|class:com.elsdoerfer.android.autostarts.DatabaseHelper
