Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainApplication.java|class:com.github.axet.darknessimmunity.MainApplication
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainApplication.java|class:com.github.axet.darknessimmunity.MainApplication
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java|class:com.github.axet.darknessimmunity.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java|class:com.github.axet.darknessimmunity.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java|class:com.github.axet.darknessimmunity.MainActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/FullscreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/FullscreenActivity.java|class:com.github.axet.darknessimmunity.FullscreenActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/FullscreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/FullscreenActivity.java|class:com.github.axet.darknessimmunity.FullscreenActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/FullscreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/FullscreenActivity.java|class:com.github.axet.darknessimmunity.FullscreenActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java|class:com.github.axet.darknessimmunity.LightDialog
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java|class:com.github.axet.darknessimmunity.LightDialog
AddEmptyString;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java|line:108
AddEmptyString;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/LightDialog.java|line:150
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-darkness-immunity/app/src/main/java/com/github/axet/darknessimmunity/MainActivity.java|line:251
