File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/test/java/com/keylesspalace/tusky/util/ViewPager2FixTest.java",com.keylesspalace.tusky.util.ViewPager2FixTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/IOUtils.java",com.keylesspalace.tusky.util.IOUtils,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/ThemeUtils.java",com.keylesspalace.tusky.util.ThemeUtils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/Emojis.java",com.keylesspalace.tusky.util.Emojis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/ViewPager2Fix.java",com.keylesspalace.tusky.util.ViewPager2Fix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/HTMLEdit.java",com.keylesspalace.tusky.util.HTMLEdit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/ViewDataUtils.java",com.keylesspalace.tusky.util.ViewDataUtils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/SaveTootHelper.java",com.keylesspalace.tusky.util.SaveTootHelper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PairedList.java",com.keylesspalace.tusky.util.PairedList,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/LinkHelper.java",com.keylesspalace.tusky.util.LinkHelper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/CustomURLSpan.java",com.keylesspalace.tusky.util.CustomURLSpan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PagingRequestHelper.java",com.keylesspalace.tusky.util.PagingRequestHelper,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/BBCodeEdit.java",com.keylesspalace.tusky.util.BBCodeEdit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/OkHttpUtils.java",com.keylesspalace.tusky.util.OkHttpUtils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/HttpHeaderLink.java",com.keylesspalace.tusky.util.HttpHeaderLink,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/VersionUtils.java",com.keylesspalace.tusky.util.VersionUtils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/TimestampUtils.java",com.keylesspalace.tusky.util.TimestampUtils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/ViewThreadActivity.java",com.keylesspalace.tusky.ViewThreadActivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/ViewTagActivity.java",com.keylesspalace.tusky.ViewTagActivity,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/SavedTootActivity.java",com.keylesspalace.tusky.SavedTootActivity,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/BaseActivity.java",com.keylesspalace.tusky.BaseActivity,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/viewdata/StatusViewData.java",com.keylesspalace.tusky.viewdata.StatusViewData,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/viewdata/NotificationViewData.java",com.keylesspalace.tusky.viewdata.NotificationViewData,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/network/InstanceSwitchAuthInterceptor.java",com.keylesspalace.tusky.network.InstanceSwitchAuthInterceptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/network/ProgressRequestBody.java",com.keylesspalace.tusky.network.ProgressRequestBody,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/MutedStatusViewHolder.java",com.keylesspalace.tusky.adapter.MutedStatusViewHolder,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/StatusBaseViewHolder.java",com.keylesspalace.tusky.adapter.StatusBaseViewHolder,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/MutesAdapter.java",com.keylesspalace.tusky.adapter.MutesAdapter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/SingleViewHolder.java",com.keylesspalace.tusky.adapter.SingleViewHolder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/AccountAdapter.java",com.keylesspalace.tusky.adapter.AccountAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/NotificationsAdapter.java",com.keylesspalace.tusky.adapter.NotificationsAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/EmojiReactionsAdapter.java",com.keylesspalace.tusky.adapter.EmojiReactionsAdapter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/AccountViewHolder.java",com.keylesspalace.tusky.adapter.AccountViewHolder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/PlaceholderViewHolder.java",com.keylesspalace.tusky.adapter.PlaceholderViewHolder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/UnicodeEmojiAdapter.java",com.keylesspalace.tusky.adapter.UnicodeEmojiAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/ThreadAdapter.java",com.keylesspalace.tusky.adapter.ThreadAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/SavedTootAdapter.java",com.keylesspalace.tusky.adapter.SavedTootAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/StatusDetailedViewHolder.java",com.keylesspalace.tusky.adapter.StatusDetailedViewHolder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/TimelineAdapter.java",com.keylesspalace.tusky.adapter.TimelineAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/FollowAdapter.java",com.keylesspalace.tusky.adapter.FollowAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/BlocksAdapter.java",com.keylesspalace.tusky.adapter.BlocksAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/FollowRequestsAdapter.java",com.keylesspalace.tusky.adapter.FollowRequestsAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/adapter/StatusViewHolder.java",com.keylesspalace.tusky.adapter.StatusViewHolder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/components/compose/ComposeAutoCompleteAdapter.java",com.keylesspalace.tusky.components.compose.ComposeAutoCompleteAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/components/compose/view/ProgressImageView.java",com.keylesspalace.tusky.components.compose.view.ProgressImageView,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/components/compose/view/ProgressTextView.java",com.keylesspalace.tusky.components.compose.view.ProgressTextView,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
