Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/IOUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/IOUtils.java|class:com.keylesspalace.tusky.util.IOUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/CustomURLSpan.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/CustomURLSpan.java|class:com.keylesspalace.tusky.util.CustomURLSpan
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PagingRequestHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PagingRequestHelper.java|class:com.keylesspalace.tusky.util.PagingRequestHelper
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PagingRequestHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PagingRequestHelper.java|class:com.keylesspalace.tusky.util.PagingRequestHelper
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PagingRequestHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/PagingRequestHelper.java|class:com.keylesspalace.tusky.util.PagingRequestHelper
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/HttpHeaderLink.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/util/HttpHeaderLink.java|class:com.keylesspalace.tusky.util.HttpHeaderLink
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/ViewThreadActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/ViewThreadActivity.java|class:com.keylesspalace.tusky.ViewThreadActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/ViewTagActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/ViewTagActivity.java|class:com.keylesspalace.tusky.ViewTagActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/SavedTootActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/SavedTootActivity.java|class:com.keylesspalace.tusky.SavedTootActivity
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/BaseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/android-native/app/src/main/java/com/keylesspalace/tusky/BaseActivity.java|class:com.keylesspalace.tusky.BaseActivity
