Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java|class:com.alaskalinuxuser.hourglass.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java|class:com.alaskalinuxuser.hourglass.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java|class:com.alaskalinuxuser.hourglass.SetScaleActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/app/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java|class:com.alaskalinuxuser.hourglass.CancelActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/SetScaleActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java;file:/src/main/java/com/alaskalinuxuser/hourglass/CancelActivity.java
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml|line:16
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml|line:18
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/raw/shipbell.mp3;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/raw/shipbell.mp3
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:16
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_hourglass/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:18
