Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/app/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/app/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java|class:com.alaskalinuxuser.rilcontrol.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/app/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/app/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java|class:com.alaskalinuxuser.rilcontrol.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/app/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/app/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java|class:com.alaskalinuxuser.rilcontrol.MainActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/rilcontrol/MainActivity.java
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/values/dimens.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/values/dimens.xml|line:2
Overdraw;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/layout/content_main.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/layout/content_main.xml|line:7
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/mipmap-hdpi/ic_launcher_round.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/mipmap-hdpi/ic_launcher_round.png
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/mipmap-hdpi/ic_launcher.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ril_control/NONE_TRANSFORMED_/app/src/main/res/mipmap-hdpi/ic_launcher.png
