Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java|class:com.alaskalinuxuser.shipcaptainandcrew.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java|class:com.alaskalinuxuser.shipcaptainandcrew.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java|class:com.alaskalinuxuser.shipcaptainandcrew.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/app/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java|class:com.alaskalinuxuser.shipcaptainandcrew.AboutApp
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java;file:/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java;file:/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java;file:/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/app_ship_capt_crew/NONE_TRANSFORMED_;/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java;file:/src/main/java/com/alaskalinuxuser/shipcaptainandcrew/AboutApp.java
