Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsPresenter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsPresenter.java|class:com.gbeatty.arxivexplorer.paper.details.PaperDetailsPresenter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsFragment.java|class:com.gbeatty.arxivexplorer.paper.details.PaperDetailsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsFragment.java|class:com.gbeatty.arxivexplorer.paper.details.PaperDetailsFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/details/PaperDetailsFragment.java|class:com.gbeatty.arxivexplorer.paper.details.PaperDetailsFragment
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersPresenter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersPresenter.java|class:com.gbeatty.arxivexplorer.paper.list.PapersPresenter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersPresenter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersPresenter.java|class:com.gbeatty.arxivexplorer.paper.list.PapersPresenter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersListAdapter.java|class:com.gbeatty.arxivexplorer.paper.list.PapersListAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersListAdapter.java|class:com.gbeatty.arxivexplorer.paper.list.PapersListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersListAdapter.java|class:com.gbeatty.arxivexplorer.paper.list.PapersListAdapter
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersFragment.java|class:com.gbeatty.arxivexplorer.paper.list.PapersFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersFragment.java|class:com.gbeatty.arxivexplorer.paper.list.PapersFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/list/PapersFragment.java|class:com.gbeatty.arxivexplorer.paper.list.PapersFragment
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/base/PapersPresenterBase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/base/PapersPresenterBase.java|class:com.gbeatty.arxivexplorer.paper.base.PapersPresenterBase
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/base/PapersViewBase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/paper/base/PapersViewBase.java|class:com.gbeatty.arxivexplorer.paper.base.PapersViewBase
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/settings/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/settings/AppCompatPreferenceActivity.java|class:com.gbeatty.arxivexplorer.settings.AppCompatPreferenceActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/settings/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/settings/AppCompatPreferenceActivity.java|class:com.gbeatty.arxivexplorer.settings.AppCompatPreferenceActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/settings/BaseSettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/settings/BaseSettingsActivity.java|class:com.gbeatty.arxivexplorer.settings.BaseSettingsActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/category/CategoriesListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/category/CategoriesListAdapter.java|class:com.gbeatty.arxivexplorer.category.CategoriesListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/category/CategoriesListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/category/CategoriesListAdapter.java|class:com.gbeatty.arxivexplorer.category.CategoriesListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/category/CategoriesFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/arXiv-eXplorer/app/src/main/java/com/gbeatty/arxivexplorer/category/CategoriesFragment.java|class:com.gbeatty.arxivexplorer.category.CategoriesFragment
