Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/About.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/About.java|class:com.juet.attendance.About
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/Subject.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/Subject.java|class:com.juet.attendance.Subject
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/Subject.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/Subject.java|class:com.juet.attendance.Subject
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java|class:com.juet.attendance.attendance
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java|class:com.juet.attendance.attendance
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java|class:com.juet.attendance.attendance
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java|class:com.juet.attendance.attendance
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/attendance.java|class:com.juet.attendance.attendance
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/SettingsView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/SettingsView.java|class:com.juet.attendance.SettingsView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/CustomListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/attendance-viewer/app/src/main/java/com/juet/attendance/CustomListAdapter.java|class:com.juet.attendance.CustomListAdapter
