Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/BlockedNumberAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/BlockedNumberAdapter.java|class:com.jellyshack.block6.BlockedNumberAdapter
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/HeadlessSMSSendService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/HeadlessSMSSendService.java|class:com.jellyshack.block6.HeadlessSMSSendService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/SMSListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/SMSListAdapter.java|class:com.jellyshack.block6.SMSListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/SmsObservable.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/SmsObservable.java|class:com.jellyshack.block6.util.SmsObservable
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/SmsUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/SmsUtil.java|class:com.jellyshack.block6.util.SmsUtil
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/SimpleSMSMessage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/SimpleSMSMessage.java|class:com.jellyshack.block6.util.SimpleSMSMessage
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/PhoneNumber.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/util/PhoneNumber.java|class:com.jellyshack.block6.util.PhoneNumber
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/ComposeSMSActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/ComposeSMSActivity.java|class:com.jellyshack.block6.activity.ComposeSMSActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/ComposeSMSActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/ComposeSMSActivity.java|class:com.jellyshack.block6.activity.ComposeSMSActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/MainActivity.java|class:com.jellyshack.block6.activity.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/MainActivity.java|class:com.jellyshack.block6.activity.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/MainActivity.java|class:com.jellyshack.block6.activity.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/BlockedNumbersActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/BlockedNumbersActivity.java|class:com.jellyshack.block6.activity.BlockedNumbersActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/AllMessagesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/AllMessagesActivity.java|class:com.jellyshack.block6.activity.AllMessagesActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/block6/app/src/main/java/com/jellyshack/block6/activity/SettingsActivity.java|class:com.jellyshack.block6.activity.SettingsActivity
