Issue;Tool;Project;File;Location
ObsoleteSdkInt;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/mipmap-anydpi-v26;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/mipmap-anydpi-v26
LogConditional;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BlueService.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BlueService.kt|line:239
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/values/themes.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/values/themes.xml|line:22
SyntheticAccessor;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BlueService.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BlueService.kt|line:66
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_bluepass_background.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_bluepass_background.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_bluepass_foreground.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_bluepass_foreground.xml|line:1
LogConditional;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BluetoothHandler.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BluetoothHandler.kt|line:206
LogConditional;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BluetoothHandler.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BluetoothHandler.kt|line:131
LogConditional;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BluetoothHandler.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/BluetoothHandler.kt|line:200
LogConditional;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/MsgReceiver.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bluepass/NONE_TRANSFORMED_/app/src/main/java/org/booncode/bluepass4/service/MsgReceiver.kt|line:76
