Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java|class:com.github.characterdog.bmicalculator.AboutActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java|class:com.github.characterdog.bmicalculator.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java|class:com.github.characterdog.bmicalculator.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java|class:com.github.characterdog.bmicalculator.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java|class:com.github.characterdog.bmicalculator.MainActivity
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/app/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java|line:50
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java;file:/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java;file:/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java;file:/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java;file:/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java;file:/src/main/java/com/github/characterdog/bmicalculator/AboutActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/bmi-calculator/NONE_TRANSFORMED_;/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java;file:/src/main/java/com/github/characterdog/bmicalculator/MainActivity.java
