Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/XmlFeedReader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/XmlFeedReader.java|class:org.developfreedom.ccdroid.app.XmlFeedReader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/ProjectListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/ProjectListFragment.java|class:org.developfreedom.ccdroid.app.ui.ProjectListFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/ProjectListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/ProjectListFragment.java|class:org.developfreedom.ccdroid.app.ui.ProjectListFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/MainActivity.java|class:org.developfreedom.ccdroid.app.ui.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/MainActivity.java|class:org.developfreedom.ccdroid.app.ui.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/MainActivity.java|class:org.developfreedom.ccdroid.app.ui.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/SelectionBuilder.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/SelectionBuilder.java|class:org.developfreedom.ccdroid.app.utils.SelectionBuilder
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/SelectionBuilder.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/SelectionBuilder.java|class:org.developfreedom.ccdroid.app.utils.SelectionBuilder
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/SelectionBuilder.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/SelectionBuilder.java|class:org.developfreedom.ccdroid.app.utils.SelectionBuilder
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/LogUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/utils/LogUtils.java|class:org.developfreedom.ccdroid.app.utils.LogUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/storage/ProjectProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/storage/ProjectProvider.java|class:org.developfreedom.ccdroid.app.storage.ProjectProvider
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/storage/ProjectProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/storage/ProjectProvider.java|class:org.developfreedom.ccdroid.app.storage.ProjectProvider
