File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/BasicTest.java",org.developfreedom.ccdroid.app.BasicTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/PreferencesTest.java",org.developfreedom.ccdroid.app.PreferencesTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/ProjectTest.java",org.developfreedom.ccdroid.app.ProjectTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/MainActivityTest.java",org.developfreedom.ccdroid.app.MainActivityTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/XmlFeedReaderTest.java",org.developfreedom.ccdroid.app.XmlFeedReaderTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ProjectParser.java",org.developfreedom.ccdroid.app.ProjectParser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/XmlFeedReader.java",org.developfreedom.ccdroid.app.XmlFeedReader,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/Project.java",org.developfreedom.ccdroid.app.Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/ui/ProjectAdapterTest.java",org.developfreedom.ccdroid.app.ui.ProjectAdapterTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/ui/ProjectListFragmentTest.java",org.developfreedom.ccdroid.app.ui.ProjectListFragmentTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/ui/ProjectAdapterRoboTest.java",org.developfreedom.ccdroid.app.ui.ProjectAdapterRoboTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/ui/DetailsDialogTest.java",org.developfreedom.ccdroid.app.ui.DetailsDialogTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/test/java/org/developfreedom/ccdroid/app/ui/ProjectListFragmentRoboTest.java",org.developfreedom.ccdroid.app.ui.ProjectListFragmentRoboTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/ProjectListFragment.java",org.developfreedom.ccdroid.app.ui.ProjectListFragment,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/MainActivity.java",org.developfreedom.ccdroid.app.ui.MainActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/ProjectAdapter.java",org.developfreedom.ccdroid.app.ui.ProjectAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ccdroid/app/src/main/java/org/developfreedom/ccdroid/app/ui/DetailsDialog.java",org.developfreedom.ccdroid.app.ui.DetailsDialog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
