Issue;Tool;Project;File;Location
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/Core.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/Core.java|class:com.dkanada.chip.core.Core
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/Core.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/Core.java|class:com.dkanada.chip.core.Core
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/Memory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/Memory.java|class:com.dkanada.chip.core.Memory
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/Instruction_0xD000.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/Instruction_0xD000.java|class:com.dkanada.chip.core.instructions.Instruction_0xD000
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/xF000/Instruction_0xF033.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/xF000/Instruction_0xF033.java|class:com.dkanada.chip.core.instructions.xF000.Instruction_0xF033
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/xF000/Instruction_0xF065.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/xF000/Instruction_0xF065.java|class:com.dkanada.chip.core.instructions.xF000.Instruction_0xF065
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/xF000/Instruction_0xF055.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/core/instructions/xF000/Instruction_0xF055.java|class:com.dkanada.chip.core.instructions.xF000.Instruction_0xF055
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/fragments/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/fragments/SettingsFragment.java|class:com.dkanada.chip.fragments.SettingsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java|class:com.dkanada.chip.activities.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java|class:com.dkanada.chip.activities.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java|class:com.dkanada.chip.activities.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/SettingsActivity.java|class:com.dkanada.chip.activities.SettingsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/views/DisplayView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/views/DisplayView.java|class:com.dkanada.chip.views.DisplayView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/views/DisplayView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/views/DisplayView.java|class:com.dkanada.chip.views.DisplayView
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chip-emulator/app/src/main/java/com/dkanada/chip/activities/MainActivity.java|line:82
