Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/NewSequenceDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/NewSequenceDialogFragment.java|class:com.nathanosman.chronosnap.ui.NewSequenceDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/NewSequenceDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/NewSequenceDialogFragment.java|class:com.nathanosman.chronosnap.ui.NewSequenceDialogFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/NewSequenceDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/NewSequenceDialogFragment.java|class:com.nathanosman.chronosnap.ui.NewSequenceDialogFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/MainActivity.java|class:com.nathanosman.chronosnap.ui.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/ui/MainActivity.java|class:com.nathanosman.chronosnap.ui.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/TimeIntervalPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/TimeIntervalPreference.java|class:com.nathanosman.chronosnap.preference.TimeIntervalPreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/TimeIntervalPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/TimeIntervalPreference.java|class:com.nathanosman.chronosnap.preference.TimeIntervalPreference
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/CameraPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/CameraPreference.java|class:com.nathanosman.chronosnap.preference.CameraPreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/SettingsActivity.java|class:com.nathanosman.chronosnap.preference.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/chronosnap/app/src/main/java/com/nathanosman/chronosnap/preference/SettingsActivity.java|class:com.nathanosman.chronosnap.preference.SettingsActivity
