Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/CustomAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/CustomAdapter.java|class:com.mzhang.cleantimer.CustomAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java|class:com.mzhang.cleantimer.stats
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java|class:com.mzhang.cleantimer.stats
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java|class:com.mzhang.cleantimer.stats
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/stats.java|class:com.mzhang.cleantimer.stats
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java|class:com.mzhang.cleantimer.MainActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java|class:com.mzhang.cleantimer.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java|class:com.mzhang.cleantimer.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java|class:com.mzhang.cleantimer.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cleanTimer/app/src/main/java/com/mzhang/cleantimer/MainActivity.java|class:com.mzhang.cleantimer.MainActivity
