Issue;Tool;Project;File;Location
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/Storage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/Storage.java|class:com.joshtwigg.cmus.droid.Storage
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/Util.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/Util.java|class:com.joshtwigg.cmus.droid.Util
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/Util.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/Util.java|class:com.joshtwigg.cmus.droid.Util
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/CmusStatus.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/CmusStatus.java|class:com.joshtwigg.cmus.droid.CmusStatus
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java|class:com.joshtwigg.cmus.droid.ActivityHostManager
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java|class:com.joshtwigg.cmus.droid.ActivityHostManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java|class:com.joshtwigg.cmus.droid.ActivityHostManager
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java|class:com.joshtwigg.cmus.droid.ActivityHostManager
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostManager.java|class:com.joshtwigg.cmus.droid.ActivityHostManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostDialog.java|class:com.joshtwigg.cmus.droid.ActivityHostDialog
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityHostDialog.java|class:com.joshtwigg.cmus.droid.ActivityHostDialog
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityWelcome.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityWelcome.java|class:com.joshtwigg.cmus.droid.ActivityWelcome
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityRemote.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityRemote.java|class:com.joshtwigg.cmus.droid.ActivityRemote
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityRemote.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityRemote.java|class:com.joshtwigg.cmus.droid.ActivityRemote
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityRemote.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ActivityRemote.java|class:com.joshtwigg.cmus.droid.ActivityRemote
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ArtRetriever.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ArtRetriever.java|class:com.joshtwigg.cmus.droid.ArtRetriever
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ArtRetriever.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/ArtRetriever.java|class:com.joshtwigg.cmus.droid.ArtRetriever
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/CommandThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/CommandThread.java|class:com.joshtwigg.cmus.droid.CommandThread
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/CommandThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cmus-android-remote/app/src/main/java/com/joshtwigg/cmus/droid/CommandThread.java|class:com.joshtwigg.cmus.droid.CommandThread
