Issue;Tool;Project;File;Location
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/NoteComposer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/NoteComposer.java|class:com.mschlauch.comfortreader.NoteComposer
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/NoteActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/NoteActivity.java|class:com.mschlauch.comfortreader.NoteActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/SettingsLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/SettingsLoader.java|class:com.mschlauch.comfortreader.SettingsLoader
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/SettingsLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/SettingsLoader.java|class:com.mschlauch.comfortreader.SettingsLoader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/SettingsLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/SettingsLoader.java|class:com.mschlauch.comfortreader.SettingsLoader
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverOpenInFileManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverOpenInFileManager.java|class:com.mschlauch.comfortreader.BroadcastReceiverOpenInFileManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverOpenInFileManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverOpenInFileManager.java|class:com.mschlauch.comfortreader.BroadcastReceiverOpenInFileManager
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverOpenInFileManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverOpenInFileManager.java|class:com.mschlauch.comfortreader.BroadcastReceiverOpenInFileManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/CRPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/CRPreferenceActivity.java|class:com.mschlauch.comfortreader.CRPreferenceActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/CRPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/CRPreferenceActivity.java|class:com.mschlauch.comfortreader.CRPreferenceActivity
