File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/NoteComposer.java",com.mschlauch.comfortreader.NoteComposer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/NoteActivity.java",com.mschlauch.comfortreader.NoteActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/SettingsLoader.java",com.mschlauch.comfortreader.SettingsLoader,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/DBManager.java",com.mschlauch.comfortreader.DBManager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverOpenInFileManager.java",com.mschlauch.comfortreader.BroadcastReceiverOpenInFileManager,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/CRPreferenceActivity.java",com.mschlauch.comfortreader.CRPreferenceActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/DatabaseHelper.java",com.mschlauch.comfortreader.DatabaseHelper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/ComfortReaderApplication.java",com.mschlauch.comfortreader.ComfortReaderApplication,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/FullscreenActivity.java",com.mschlauch.comfortreader.FullscreenActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/Book.java",com.mschlauch.comfortreader.Book,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/NumberPickerPreference.java",com.mschlauch.comfortreader.NumberPickerPreference,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BookPickerPreference.java",com.mschlauch.comfortreader.BookPickerPreference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/StringSegmenter.java",com.mschlauch.comfortreader.StringSegmenter,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/PositionPickerPreference.java",com.mschlauch.comfortreader.PositionPickerPreference,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/PDFManager.java",com.mschlauch.comfortreader.PDFManager,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/comfortreader/app/src/main/java/com/mschlauch/comfortreader/BroadcastReceiverWebLink.java",com.mschlauch.comfortreader.BroadcastReceiverWebLink,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
