Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/database/CooperOpenHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/database/CooperOpenHelper.java|class:com.dconstructing.cooper.database.CooperOpenHelper
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedDirectoryFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedDirectoryFragment.java|class:com.dconstructing.cooper.fragments.ConnectedDirectoryFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedDirectoryFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedDirectoryFragment.java|class:com.dconstructing.cooper.fragments.ConnectedDirectoryFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedDirectoryFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedDirectoryFragment.java|class:com.dconstructing.cooper.fragments.ConnectedDirectoryFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/PasswordDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/PasswordDialogFragment.java|class:com.dconstructing.cooper.fragments.PasswordDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/PasswordDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/PasswordDialogFragment.java|class:com.dconstructing.cooper.fragments.PasswordDialogFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/PasswordDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/PasswordDialogFragment.java|class:com.dconstructing.cooper.fragments.PasswordDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/NewConnectionFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/NewConnectionFragment.java|class:com.dconstructing.cooper.fragments.NewConnectionFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/NewConnectionFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/NewConnectionFragment.java|class:com.dconstructing.cooper.fragments.NewConnectionFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/NewConnectionFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/NewConnectionFragment.java|class:com.dconstructing.cooper.fragments.NewConnectionFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java|class:com.dconstructing.cooper.fragments.ConnectionsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java|class:com.dconstructing.cooper.fragments.ConnectionsFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java|class:com.dconstructing.cooper.fragments.ConnectionsFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectionsFragment.java|class:com.dconstructing.cooper.fragments.ConnectionsFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedFileFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedFileFragment.java|class:com.dconstructing.cooper.fragments.ConnectedFileFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedFileFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedFileFragment.java|class:com.dconstructing.cooper.fragments.ConnectedFileFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedFileFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/fragments/ConnectedFileFragment.java|class:com.dconstructing.cooper.fragments.ConnectedFileFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/contentproviders/ConnectionsContentProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/contentproviders/ConnectionsContentProvider.java|class:com.dconstructing.cooper.contentproviders.ConnectionsContentProvider
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/contentproviders/ConnectionsContentProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/contentproviders/ConnectionsContentProvider.java|class:com.dconstructing.cooper.contentproviders.ConnectionsContentProvider
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/contentproviders/ConnectionsContentProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/contentproviders/ConnectionsContentProvider.java|class:com.dconstructing.cooper.contentproviders.ConnectionsContentProvider
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/ConnectionActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/ConnectionActivity.java|class:com.dconstructing.cooper.ConnectionActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/ConnectionActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/ConnectionActivity.java|class:com.dconstructing.cooper.ConnectionActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/ConnectionActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/cooper/cooper/src/main/java/com/dconstructing/cooper/ConnectionActivity.java|class:com.dconstructing.cooper.ConnectionActivity
