Issue;Tool;Project;File;Location
UselessParent;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/crate_item.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/crate_item.xml|line:15
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/menu/crate_activity_menu.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/menu/crate_activity_menu.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:18
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/activity_crate.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/activity_crate.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml|line:4
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/app_bar_main.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/app_bar_main.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/alert_active.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/alert_active.png
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/menu/main.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/menu/main.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:7
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/alert_inactive.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/alert_inactive.png
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/menu/activity_main_drawer.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/menu/activity_main_drawer.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/dimens.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/dimens.xml|line:3
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml|line:7
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/link_button.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/link_button.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml|line:10
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:16
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/cargo_logo.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/cargo_logo.png
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_logout.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_logout.png
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/activity_main.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/layout/activity_main.xml|line:2
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/dimens.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/dimens.xml|line:4
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:6
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_dashboard.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/crates-io-android/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_dashboard.png
