Issue;Tool;Project;File;Location
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java|class:com.example.spokennumbers.FlashAnzan
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java|class:com.example.spokennumbers.FlashAnzan
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java|class:com.example.spokennumbers.FlashAnzan
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/FlashAnzan.java|class:com.example.spokennumbers.FlashAnzan
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/MainActivity.java|class:com.example.spokennumbers.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/MainActivity.java|class:com.example.spokennumbers.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/MainActivity.java|class:com.example.spokennumbers.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/spoken_numbers_main_fragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/spoken_numbers_main_fragment.java|class:com.example.spokennumbers.spoken_numbers_main_fragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/spoken_numbers_main_fragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/spoken_numbers_main_fragment.java|class:com.example.spokennumbers.spoken_numbers_main_fragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/EvaluationFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dekadico/app/src/main/java/com/example/spokennumbers/EvaluationFragment.java|class:com.example.spokennumbers.EvaluationFragment
