Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/HelpActivity.java|class:com.aptasystems.dicewarepasswordgenerator.HelpActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java|class:com.aptasystems.dicewarepasswordgenerator.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java|class:com.aptasystems.dicewarepasswordgenerator.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java|class:com.aptasystems.dicewarepasswordgenerator.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/MainActivity.java|class:com.aptasystems.dicewarepasswordgenerator.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/EnterDiceValuesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/EnterDiceValuesActivity.java|class:com.aptasystems.dicewarepasswordgenerator.EnterDiceValuesActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/EnterDiceValuesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/EnterDiceValuesActivity.java|class:com.aptasystems.dicewarepasswordgenerator.EnterDiceValuesActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/EnterDiceValuesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/EnterDiceValuesActivity.java|class:com.aptasystems.dicewarepasswordgenerator.EnterDiceValuesActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/Diceware.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/Diceware.java|class:com.aptasystems.dicewarepasswordgenerator.Diceware
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/GeneratePasswordTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/diceware-pass-gen/app/src/main/java/com/aptasystems/dicewarepasswordgenerator/GeneratePasswordTask.java|class:com.aptasystems.dicewarepasswordgenerator.GeneratePasswordTask
