Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeAbout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeAbout.java|class:com.dozingcatsoftware.dodge.DodgeAbout
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/FrameRateManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/FrameRateManager.java|class:com.dozingcatsoftware.dodge.FrameRateManager
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/FrameRateManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/FrameRateManager.java|class:com.dozingcatsoftware.dodge.FrameRateManager
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java|class:com.dozingcatsoftware.dodge.DodgeMain
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java|class:com.dozingcatsoftware.dodge.DodgeMain
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java|class:com.dozingcatsoftware.dodge.DodgeMain
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/DodgeMain.java|class:com.dozingcatsoftware.dodge.DodgeMain
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/AndroidUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/AndroidUtils.java|class:com.dozingcatsoftware.dodge.AndroidUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/BackgroundImagePreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/BackgroundImagePreference.java|class:com.dozingcatsoftware.dodge.BackgroundImagePreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/BackgroundImagePreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/BackgroundImagePreference.java|class:com.dozingcatsoftware.dodge.BackgroundImagePreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/OrientationListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/OrientationListener.java|class:com.dozingcatsoftware.dodge.OrientationListener
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/FieldView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/dodge-android/app/src/main/java/com/dozingcatsoftware/dodge/FieldView.java|class:com.dozingcatsoftware.dodge.FieldView
