Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/WebCookieManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/WebCookieManager.java|class:com.evenement.eveControl.WebCookieManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java|class:com.evenement.eveControl.KeepSessionTask
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java~;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java~|class:com.evenement.eveControl.KeepSessionTask
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java|class:com.evenement.eveControl.LoginTask
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/MainActivity.java|class:com.evenement.eveControl.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/MainActivity.java|class:com.evenement.eveControl.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/MainActivity.java|class:com.evenement.eveControl.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java~;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java~|class:com.evenement.eveControl.LoginTask
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/NavFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/NavFragment.java|class:com.evenement.eveControl.NavFragment
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java|line:30
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java|line:31
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java|line:32
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java|line:34
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/KeepSessionTask.java;file:/src/main/java/com/evenement/eveControl/KeepSessionTask.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/LoginTask.java;file:/src/main/java/com/evenement/eveControl/LoginTask.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/MainActivity.java;file:/src/main/java/com/evenement/eveControl/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/TrustManager.java;file:/src/main/java/com/evenement/eveControl/TrustManager.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/HostVerifier.java;file:/src/main/java/com/evenement/eveControl/HostVerifier.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/WebViewClient.java;file:/src/main/java/com/evenement/eveControl/WebViewClient.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/MainActivity.java;file:/src/main/java/com/evenement/eveControl/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/MainActivity.java;file:/src/main/java/com/evenement/eveControl/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/src/main/java/com/evenement/eveControl/NavFragment.java;file:/src/main/java/com/evenement/eveControl/NavFragment.java
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_/app/src/main/res/values/drawables.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/NONE_TRANSFORMED_/app/src/main/res/values/drawables.xml|line:5
