File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/androidTest/java/com/evenement/encapsulation/ApplicationTest.java",com.evenement.encapsulation.ApplicationTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/androidTest/java/com/evenement/eveControl/ApplicationTest.java",com.evenement.eveControl.ApplicationTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/test/java/com/evenement/encapsulation/ExampleUnitTest.java",com.evenement.eveControl.ExampleUnitTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/WebCookieManager.java",com.evenement.eveControl.WebCookieManager,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java",com.evenement.eveControl.KeepSessionTask,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/KeepSessionTask.java~",com.evenement.eveControl.KeepSessionTask,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java",com.evenement.eveControl.LoginTask,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/MainActivity.java",com.evenement.eveControl.MainActivity,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/TrustManager.java",com.evenement.eveControl.TrustManager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/LoginTask.java~",com.evenement.eveControl.LoginTask,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/TrustManager.java~",com.evenement.eveControl.TrustManager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/HostVerifier.java",com.evenement.eveControl.HostVerifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/WebViewClient.java",com.evenement.eveControl.WebViewClient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/eve-control/app/src/main/java/com/evenement/eveControl/NavFragment.java",com.evenement.eveControl.NavFragment,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
