Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-ezlink/src/main/java/com/codebutler/farebot/transit/ezlink/EZLinkData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-ezlink/src/main/java/com/codebutler/farebot/transit/ezlink/EZLinkData.java|class:com.codebutler.farebot.transit.ezlink.EZLinkData
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-ezlink/src/main/java/com/codebutler/farebot/transit/ezlink/EZLinkTransitFactory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-ezlink/src/main/java/com/codebutler/farebot/transit/ezlink/EZLinkTransitFactory.java|class:com.codebutler.farebot.transit.ezlink.EZLinkTransitFactory
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-bilhete/src/main/java/com/codebutler/farebot/transit/bilhete_unico/BilheteUnicoSPTransitFactory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-bilhete/src/main/java/com/codebutler/farebot/transit/bilhete_unico/BilheteUnicoSPTransitFactory.java|class:com.codebutler.farebot.transit.bilhete_unico.BilheteUnicoSPTransitFactory
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-bilhete/src/main/java/com/codebutler/farebot/transit/bilhete_unico/BilheteUnicoSPTransitInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-bilhete/src/main/java/com/codebutler/farebot/transit/bilhete_unico/BilheteUnicoSPTransitInfo.java|class:com.codebutler.farebot.transit.bilhete_unico.BilheteUnicoSPTransitInfo
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-clipper/src/main/java/com/codebutler/farebot/transit/clipper/ClipperData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-clipper/src/main/java/com/codebutler/farebot/transit/clipper/ClipperData.java|class:com.codebutler.farebot.transit.clipper.ClipperData
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-clipper/src/main/java/com/codebutler/farebot/transit/clipper/ClipperTransitFactory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-clipper/src/main/java/com/codebutler/farebot/transit/clipper/ClipperTransitFactory.java|class:com.codebutler.farebot.transit.clipper.ClipperTransitFactory
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-clipper/src/main/java/com/codebutler/farebot/transit/clipper/ClipperTransitFactory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-clipper/src/main/java/com/codebutler/farebot/transit/clipper/ClipperTransitFactory.java|class:com.codebutler.farebot.transit.clipper.ClipperTransitFactory
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-opal/src/main/java/com/codebutler/farebot/transit/opal/OpalTransitInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-opal/src/main/java/com/codebutler/farebot/transit/opal/OpalTransitInfo.java|class:com.codebutler.farebot.transit.opal.OpalTransitInfo
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-opal/src/main/java/com/codebutler/farebot/transit/opal/OpalData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-opal/src/main/java/com/codebutler/farebot/transit/opal/OpalData.java|class:com.codebutler.farebot.transit.opal.OpalData
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-myki/src/main/java/com/codebutler/farebot/transit/myki/MykiTransitInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/farebot-transit-myki/src/main/java/com/codebutler/farebot/transit/myki/MykiTransitInfo.java|class:com.codebutler.farebot.transit.myki.MykiTransitInfo
