Issue;Tool;Project;File;Location
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/util/FinderUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/util/FinderUtil.java|class:net.kazzz.util.FinderUtil
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/util/ArrayUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/util/ArrayUtil.java|class:net.kazzz.util.ArrayUtil
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaException.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaException.java|class:net.kazzz.felica.FeliCaException
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaTag.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaTag.java|class:net.kazzz.felica.FeliCaTag
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaTag.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaTag.java|class:net.kazzz.felica.FeliCaTag
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaTag.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaTag.java|class:net.kazzz.felica.FeliCaTag
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaLiteTag.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaLiteTag.java|class:net.kazzz.felica.FeliCaLiteTag
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaLiteTag.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/FeliCaLiteTag.java|class:net.kazzz.felica.FeliCaLiteTag
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/lib/FeliCaLib.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/felica/lib/FeliCaLib.java|class:net.kazzz.felica.lib.FeliCaLib
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot;/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/nfc/NfcTag.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/farebot/third_party/nfc-felica-lib/src/main/java/net/kazzz/nfc/NfcTag.java|class:net.kazzz.nfc.NfcTag
