Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaPlugin.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaPlugin.java|class:org.apache.cordova.CordovaPlugin
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java|class:org.apache.cordova.CordovaActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java|class:org.apache.cordova.CordovaActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java|class:org.apache.cordova.CordovaActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaActivity.java|class:org.apache.cordova.CordovaActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/ConfigXmlParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/ConfigXmlParser.java|class:org.apache.cordova.ConfigXmlParser
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/PluginManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/PluginManager.java|class:org.apache.cordova.PluginManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaPreferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaPreferences.java|class:org.apache.cordova.CordovaPreferences
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebViewImpl.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebViewImpl.java|class:org.apache.cordova.CordovaWebViewImpl
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebViewImpl.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebViewImpl.java|class:org.apache.cordova.CordovaWebViewImpl
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebViewImpl.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebViewImpl.java|class:org.apache.cordova.CordovaWebViewImpl
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaWebView.java|class:org.apache.cordova.CordovaWebView
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java|class:org.apache.cordova.CordovaResourceApi
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java|class:org.apache.cordova.CordovaResourceApi
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java|class:org.apache.cordova.CordovaResourceApi
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/Whitelist.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fdroid/app/CordovaLib/src/org/apache/cordova/Whitelist.java|class:org.apache.cordova.Whitelist
