Issue;Tool;Project;File;Location
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/ScaleNotesView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/ScaleNotesView.java|class:com.github.gschwind.fiddle_assistant.ScaleNotesView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java|class:com.github.gschwind.fiddle_assistant.AudioThread
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/MainActivity.java|class:com.github.gschwind.fiddle_assistant.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/MainActivity.java|class:com.github.gschwind.fiddle_assistant.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/MainActivity.java|class:com.github.gschwind.fiddle_assistant.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/SlidingNotesView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/SlidingNotesView.java|class:com.github.gschwind.fiddle_assistant.SlidingNotesView
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/SettingsActivity.java|class:com.github.gschwind.fiddle_assistant.SettingsActivity
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java|line:167
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java|line:167
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fiddle-assistant/app/src/main/java/com/github/gschwind/fiddle_assistant/AudioThread.java|line:167
