Issue;Tool;Project;File;Location
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/res/values/strings.xml|line:30
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/res/values/strings.xml|line:143
StaticFieldLeak;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/index/RepositoryUpdater.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/index/RepositoryUpdater.kt|line:53
SyntheticAccessor;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt|line:153
SyntheticAccessor;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt|line:153
SyntheticAccessor;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/database/Database.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/database/Database.kt|line:651
SyntheticAccessor;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/service/DownloadService.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/service/DownloadService.kt|line:100
SyntheticAccessor;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt|line:159
SyntheticAccessor;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/kotlin/nya/kitsunyan/foxydroid/widget/RecyclerFastScroller.kt|line:159
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/foxy-droid/NONE_TRANSFORMED_/src/main/res/values/strings.xml|line:20
