Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/StripPlaceholderView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/StripPlaceholderView.java|class:com.colnix.fta.StripPlaceholderView
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/PhotoFileProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/PhotoFileProvider.java|class:com.colnix.fta.PhotoFileProvider
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CameraView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CameraView.java|class:com.colnix.fta.CameraView
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CameraPreviewActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CameraPreviewActivity.java|class:com.colnix.fta.CameraPreviewActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/ManualFocusView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/ManualFocusView.java|class:com.colnix.fta.ManualFocusView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleEditionActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleEditionActivity.java|class:com.colnix.fta.CycleEditionActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleEditionActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleEditionActivity.java|class:com.colnix.fta.CycleEditionActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsService.java|class:com.colnix.fta.TestsService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsService.java|class:com.colnix.fta.TestsService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsService.java|class:com.colnix.fta.TestsService
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java|class:com.colnix.fta.TestVerificationActivity
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java|class:com.colnix.fta.TestVerificationActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java|class:com.colnix.fta.TestVerificationActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java|class:com.colnix.fta.TestVerificationActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestVerificationActivity.java|class:com.colnix.fta.TestVerificationActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CyclesAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CyclesAdapter.java|class:com.colnix.fta.CyclesAdapter
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java|class:com.colnix.fta.TestsAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java|class:com.colnix.fta.TestsAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java|class:com.colnix.fta.TestsAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/TestsAdapter.java|class:com.colnix.fta.TestsAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/DateSelectionActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/DateSelectionActivity.java|class:com.colnix.fta.DateSelectionActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/DateSelectionActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/DateSelectionActivity.java|class:com.colnix.fta.DateSelectionActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/ServicesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/ServicesActivity.java|class:com.colnix.fta.ServicesActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/ServicesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/ServicesActivity.java|class:com.colnix.fta.ServicesActivity
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/NewTestActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/NewTestActivity.java|class:com.colnix.fta.NewTestActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/NewTestActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/NewTestActivity.java|class:com.colnix.fta.NewTestActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/NewTestActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/NewTestActivity.java|class:com.colnix.fta.NewTestActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleChartView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleChartView.java|class:com.colnix.fta.CycleChartView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleChartView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleChartView.java|class:com.colnix.fta.CycleChartView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleChartView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/CycleChartView.java|class:com.colnix.fta.CycleChartView
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/Config.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fta/app/src/main/java/com/colnix/fta/Config.java|class:com.colnix.fta.Config
