Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/GeneralConfigActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/GeneralConfigActivity.java|class:biz.incomsystems.fwknop2.GeneralConfigActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/HelpActivity.java|class:biz.incomsystems.fwknop2.HelpActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListFragment.java|class:biz.incomsystems.fwknop2.ConfigListFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListFragment.java|class:biz.incomsystems.fwknop2.ConfigListFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListFragment.java|class:biz.incomsystems.fwknop2.ConfigListFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailActivity.java|class:biz.incomsystems.fwknop2.ConfigDetailActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailActivity.java|class:biz.incomsystems.fwknop2.ConfigDetailActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionListLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionListLoader.java|class:biz.incomsystems.fwknop2.ConnectionListLoader
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionListLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionListLoader.java|class:biz.incomsystems.fwknop2.ConnectionListLoader
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/NfcKnockActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/NfcKnockActivity.java|class:biz.incomsystems.fwknop2.NfcKnockActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionSpinnerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionSpinnerAdapter.java|class:biz.incomsystems.fwknop2.ConnectionSpinnerAdapter
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionSpinnerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConnectionSpinnerAdapter.java|class:biz.incomsystems.fwknop2.ConnectionSpinnerAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/knockCountdownTimer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/knockCountdownTimer.java|class:biz.incomsystems.fwknop2.knockCountdownTimer
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/knockCountdownTimer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/knockCountdownTimer.java|class:biz.incomsystems.fwknop2.knockCountdownTimer
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/knockCountdownTimer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/knockCountdownTimer.java|class:biz.incomsystems.fwknop2.knockCountdownTimer
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListActivity.java|class:biz.incomsystems.fwknop2.ConfigListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigListActivity.java|class:biz.incomsystems.fwknop2.ConfigListActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailFragment.java|class:biz.incomsystems.fwknop2.ConfigDetailFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailFragment.java|class:biz.incomsystems.fwknop2.ConfigDetailFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/fwknop2/app/src/main/java/biz/incomsystems/fwknop2/ConfigDetailFragment.java|class:biz.incomsystems.fwknop2.ConfigDetailFragment
