Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/G2L.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/G2L.java|class:com.easwareapps.g2l.G2L
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java|class:com.easwareapps.g2l.GestureLauncher
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java|class:com.easwareapps.g2l.GestureLauncher
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java|class:com.easwareapps.g2l.GestureLauncher
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java|class:com.easwareapps.g2l.GestureLauncher
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/GestureLauncher.java|class:com.easwareapps.g2l.GestureLauncher
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/DonateActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/DonateActivity.java|class:com.easwareapps.g2l.DonateActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/DonateActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/DonateActivity.java|class:com.easwareapps.g2l.DonateActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/DonateActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/DonateActivity.java|class:com.easwareapps.g2l.DonateActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/QLIconChangerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/g2l-gesture-launcher/app/src/main/java/com/easwareapps/g2l/QLIconChangerActivity.java|class:com.easwareapps.g2l.QLIconChangerActivity
