Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/GardineView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/GardineView.java|class:by.yauhenl.gardine.GardineView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/MainActivity.java|class:by.yauhenl.gardine.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/MainActivity.java|class:by.yauhenl.gardine.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/GardineWidgetService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/GardineWidgetService.java|class:by.yauhenl.gardine.GardineWidgetService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/AntipodeViewsLayoutListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/AntipodeViewsLayoutListener.java|class:by.yauhenl.gardine.AntipodeViewsLayoutListener
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/DiscardingStack.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/DiscardingStack.java|class:by.yauhenl.gardine.DiscardingStack
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/WidgetTouchListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/app/src/main/java/by/yauhenl/gardine/WidgetTouchListener.java|line:24
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/src/main/java/by/yauhenl/gardine/GardineView.java;file:/src/main/java/by/yauhenl/gardine/GardineView.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/src/main/java/by/yauhenl/gardine/MainActivity.java;file:/src/main/java/by/yauhenl/gardine/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/src/main/java/by/yauhenl/gardine/GardineWidgetService.java;file:/src/main/java/by/yauhenl/gardine/GardineWidgetService.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/src/main/java/by/yauhenl/gardine/DiscardingStack.java;file:/src/main/java/by/yauhenl/gardine/DiscardingStack.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/src/main/java/by/yauhenl/gardine/MainActivity.java;file:/src/main/java/by/yauhenl/gardine/MainActivity.java
CollectionOfViews;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/src/main/java/by/yauhenl/gardine/GardineView.java;file:/src/main/java/by/yauhenl/gardine/GardineView.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/gardine/NONE_TRANSFORMED_;/src/main/java/by/yauhenl/gardine/MainActivity.java;file:/src/main/java/by/yauhenl/gardine/MainActivity.java
