Issue;Tool;Project;File;Location
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/BitSequence.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/BitSequence.java|class:com.gulshansingh.hackerlivewallpaper.BitSequence
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java|class:com.gulshansingh.hackerlivewallpaper.HackerWallpaperService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java|class:com.gulshansingh.hackerlivewallpaper.HackerWallpaperService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java|class:com.gulshansingh.hackerlivewallpaper.HackerWallpaperService
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/HackerWallpaperService.java|class:com.gulshansingh.hackerlivewallpaper.HackerWallpaperService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/SettingsActivity.java|class:com.gulshansingh.hackerlivewallpaper.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/SettingsActivity.java|class:com.gulshansingh.hackerlivewallpaper.SettingsActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/SettingsActivity.java|class:com.gulshansingh.hackerlivewallpaper.SettingsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/settings/SeekBarPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/settings/SeekBarPreference.java|class:com.gulshansingh.hackerlivewallpaper.settings.SeekBarPreference
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/settings/SeekBarPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hacker-live-wallpaper/app/src/main/java/com/gulshansingh/hackerlivewallpaper/settings/SeekBarPreference.java|class:com.gulshansingh.hackerlivewallpaper.settings.SeekBarPreference
