Issue;Tool;Project;File;Location
UnusedIds;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout-land/calculator_display.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout-land/calculator_display.xml|line:50
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values-de/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values-de/strings.xml|line:13
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:55
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/strings.xml|line:38
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:4
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values-de/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values-de/strings.xml|line:12
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:24
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:7
UnusedIds;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout-land/calculator_display.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout-land/calculator_display.xml|line:42
UnusedIds;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout-land/calculator_display.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout-land/calculator_display.xml|line:32
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/sizes.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/sizes.xml|line:5
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:49
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:2
UnusedIds;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout/main.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout/main.xml|line:9
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:6
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout/main.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/layout/main.xml|line:1
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values-de/strings.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/headingcalculator/NONE_TRANSFORMED_/app/src/main/res/values-de/strings.xml|line:5
