Issue;Tool;Project;File;Location
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractTimesView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractTimesView.java|class:com.redblaster.hsl.main.AbstractTimesView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractTimetableView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractTimetableView.java|class:com.redblaster.hsl.main.AbstractTimetableView
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/MainPage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/MainPage.java|class:com.redblaster.hsl.main.MainPage
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/MainPage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/MainPage.java|class:com.redblaster.hsl.main.MainPage
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/MainPage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/MainPage.java|class:com.redblaster.hsl.main.MainPage
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractSearchStationView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractSearchStationView.java|class:com.redblaster.hsl.main.AbstractSearchStationView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractWizardStep.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractWizardStep.java|class:com.redblaster.hsl.main.AbstractWizardStep
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractWizardStep.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractWizardStep.java|class:com.redblaster.hsl.main.AbstractWizardStep
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractWizardStep.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractWizardStep.java|class:com.redblaster.hsl.main.AbstractWizardStep
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/helsinki-timetables/src/main/java/com/redblaster/hsl/main/AbstractView.java|class:com.redblaster.hsl.main.AbstractView
