Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/BasePostActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/BasePostActivity.java|class:com.manuelmaly.hn.BasePostActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/ExternalIntentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/ExternalIntentActivity.java|class:com.manuelmaly.hn.ExternalIntentActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/AboutActivity.java|class:com.manuelmaly.hn.AboutActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/AboutActivity.java|class:com.manuelmaly.hn.AboutActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/BaseListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/BaseListActivity.java|class:com.manuelmaly.hn.BaseListActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/MainActivity.java|class:com.manuelmaly.hn.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/MainActivity.java|class:com.manuelmaly.hn.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/MainActivity.java|class:com.manuelmaly.hn.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/UserPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/UserPreference.java|class:com.manuelmaly.hn.UserPreference
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/ArticleReaderActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/hn-android/app/src/main/java/com/manuelmaly/hn/ArticleReaderActivity.java|class:com.manuelmaly.hn.ArticleReaderActivity
