Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/mobiRic/ui/widget/Boast.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/mobiRic/ui/widget/Boast.java|class:com.mobiRic.ui.widget.Boast
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/LatinSquareDLX.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/LatinSquareDLX.java|class:com.srlee.DLX.LatinSquareDLX
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/MathDokuDLX.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/MathDokuDLX.java|class:com.srlee.DLX.MathDokuDLX
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/DLX.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/DLX.java|class:com.srlee.DLX.DLX
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/DLX.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/srlee/DLX/DLX.java|class:com.srlee.DLX.DLX
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/UndoState.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/UndoState.java|class:com.holokenmod.UndoState
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGameListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGameListAdapter.java|class:com.holokenmod.SaveGameListAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGameListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGameListAdapter.java|class:com.holokenmod.SaveGameListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGameListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGameListAdapter.java|class:com.holokenmod.SaveGameListAdapter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGame.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/SaveGame.java|class:com.holokenmod.SaveGame
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java|class:com.holokenmod.MainActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java|class:com.holokenmod.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java|class:com.holokenmod.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/holokenmod/app/src/main/java/com/holokenmod/MainActivity.java|class:com.holokenmod.MainActivity
