Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/PrefsLicensesFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/PrefsLicensesFragment.java|class:com.concept1tech.instalate.PrefsLicensesFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TranslationData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TranslationData.java|class:com.concept1tech.instalate.TranslationData
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/Provider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/Provider.java|class:com.concept1tech.instalate.Provider
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TripleListPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TripleListPreference.java|class:com.concept1tech.instalate.TripleListPreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TripleListPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TripleListPreference.java|class:com.concept1tech.instalate.TripleListPreference
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TripleListPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/TripleListPreference.java|class:com.concept1tech.instalate.TripleListPreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/ClipboardListenerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/ClipboardListenerService.java|class:com.concept1tech.instalate.ClipboardListenerService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/ClipboardListenerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/ClipboardListenerService.java|class:com.concept1tech.instalate.ClipboardListenerService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/PrefsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/PrefsActivity.java|class:com.concept1tech.instalate.PrefsActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/PrefsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instalate/app/src/main/java/com/concept1tech/instalate/PrefsActivity.java|class:com.concept1tech.instalate.PrefsActivity
