Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/MainActivity.java|class:com.github.mofosyne.instantreadme.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|class:com.github.mofosyne.instantreadme.ReadMe
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|class:com.github.mofosyne.instantreadme.ReadMe
UseIndexOfChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|line:170
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|line:171
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|line:180
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|line:181
UseIndexOfChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|line:198
UseIndexOfChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|line:230
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/instantReadmeApp/app/src/main/java/com/github/mofosyne/instantreadme/ReadMe.java|line:239
