Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/DonationDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/DonationDialog.java|class:org.asdtm.fas.DonationDialog
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/DonationDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/DonationDialog.java|class:org.asdtm.fas.DonationDialog
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/App.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/App.java|class:org.asdtm.fas.App
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/util/StringUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/util/StringUtils.java|class:org.asdtm.fas.util.StringUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/util/AppUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/util/AppUtils.java|class:org.asdtm.fas.util.AppUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/TvActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/TvActivity.java|class:org.asdtm.fas.activity.TvActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/TvActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/TvActivity.java|class:org.asdtm.fas.activity.TvActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/VideosActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/VideosActivity.java|class:org.asdtm.fas.activity.VideosActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/VideosActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/VideosActivity.java|class:org.asdtm.fas.activity.VideosActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/TvDetailsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/inventum/app/src/main/java/org/asdtm/fas/activity/TvDetailsActivity.java|class:org.asdtm.fas.activity.TvDetailsActivity
