Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JttStatus.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JttStatus.java|class:com.aragaer.jtt.JttStatus
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java|class:com.aragaer.jtt.SettingsFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java|class:com.aragaer.jtt.SettingsFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java|class:com.aragaer.jtt.SettingsFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/SettingsFragment.java|class:com.aragaer.jtt.SettingsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/ViewPagerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/ViewPagerAdapter.java|class:com.aragaer.jtt.ViewPagerAdapter
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JTTMainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JTTMainActivity.java|class:com.aragaer.jtt.JTTMainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JTTMainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JTTMainActivity.java|class:com.aragaer.jtt.JTTMainActivity
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/LocationPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/LocationPreference.java|class:com.aragaer.jtt.LocationPreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/LocationPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/LocationPreference.java|class:com.aragaer.jtt.LocationPreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JttService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JttService.java|class:com.aragaer.jtt.JttService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JttService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/JttService.java|class:com.aragaer.jtt.JttService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/MainFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/MainFragment.java|class:com.aragaer.jtt.MainFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/MainFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/MainFragment.java|class:com.aragaer.jtt.MainFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/astronomy/AstronomyModule.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/astronomy/AstronomyModule.java|class:com.aragaer.jtt.astronomy.AstronomyModule
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/astronomy/SscAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/astronomy/SscAdapter.java|class:com.aragaer.jtt.astronomy.SscAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/resources/StringResources.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/resources/StringResources.java|class:com.aragaer.jtt.resources.StringResources
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/mechanics/AndroidTicker.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/mechanics/AndroidTicker.java|class:com.aragaer.jtt.mechanics.AndroidTicker
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/mechanics/MechanicsModule.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/mechanics/MechanicsModule.java|class:com.aragaer.jtt.mechanics.MechanicsModule
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/core/Hour.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/core/Hour.java|class:com.aragaer.jtt.core.Hour
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/today/TodayAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/today/TodayAdapter.java|class:com.aragaer.jtt.today.TodayAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/today/TodayAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/jtt_android/src/main/java/com/aragaer/jtt/today/TodayAdapter.java|class:com.aragaer.jtt.today.TodayAdapter
