Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/Admin.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/Admin.java|class:com.chancehorizon.just24hoursplus.Admin
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHiderBase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHiderBase.java|class:com.chancehorizon.just24hoursplus.util.SystemUiHiderBase
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHider.java|class:com.chancehorizon.just24hoursplus.util.SystemUiHider
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/app/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHider.java|class:com.chancehorizon.just24hoursplus.util.SystemUiHider
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/src/main/java/com/chancehorizon/just24hoursplus/Admin.java;file:/src/main/java/com/chancehorizon/just24hoursplus/Admin.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHiderBase.java;file:/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHiderBase.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHider.java;file:/src/main/java/com/chancehorizon/just24hoursplus/util/SystemUiHider.java
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_/app/src/main/res/drawable-nodpi/example_appwidget_preview.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_/app/src/main/res/drawable-nodpi/example_appwidget_preview.png
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:11
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/just-24-hours/NONE_TRANSFORMED_/app/src/main/res/values/styles.xml|line:25
