Issue;Tool;Project;File;Location
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MThread.java|class:com.autismprime.krassesSpiel.MThread
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MThread.java|class:com.autismprime.krassesSpiel.MThread
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/PathUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/PathUtil.java|class:com.autismprime.krassesSpiel.PathUtil
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/Lines.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/Lines.java|class:com.autismprime.krassesSpiel.Lines
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/Lines.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/Lines.java|class:com.autismprime.krassesSpiel.Lines
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java|class:com.autismprime.krassesSpiel.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java|class:com.autismprime.krassesSpiel.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java|class:com.autismprime.krassesSpiel.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/MainActivity.java|class:com.autismprime.krassesSpiel.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpiel/SettingsActivity.java|class:com.autismprime.krassesSpiel.SettingsActivity
