Issue;Tool;Project;File;Location
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MThread.java|class:com.autismprime.krassesSpielDebug.MThread
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MThread.java|class:com.autismprime.krassesSpielDebug.MThread
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/PathUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/PathUtil.java|class:com.autismprime.krassesSpielDebug.PathUtil
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/Lines.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/Lines.java|class:com.autismprime.krassesSpielDebug.Lines
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/Lines.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/Lines.java|class:com.autismprime.krassesSpielDebug.Lines
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java|class:com.autismprime.krassesSpielDebug.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java|class:com.autismprime.krassesSpielDebug.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java|class:com.autismprime.krassesSpielDebug.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/MainActivity.java|class:com.autismprime.krassesSpielDebug.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel;/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/krassesSpiel/app/src/main/java/com/autismprime/krassesSpielDebug/SettingsActivity.java|class:com.autismprime.krassesSpielDebug.SettingsActivity
