Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java|class:ca.momi.lift.ExternalStore
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java|class:ca.momi.lift.ExternalStore
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java|class:ca.momi.lift.ExternalStore
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Workout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Workout.java|class:ca.momi.lift.Workout
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Workout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Workout.java|class:ca.momi.lift.Workout
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Workout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Workout.java|class:ca.momi.lift.Workout
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/RoutinePhrak.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/RoutinePhrak.java|class:ca.momi.lift.RoutinePhrak
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/radioUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/radioUtils.java|class:ca.momi.lift.radioUtils
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/About.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/About.java|class:ca.momi.lift.About
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java|class:ca.momi.lift.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java|class:ca.momi.lift.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java|class:ca.momi.lift.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/MainActivity.java|class:ca.momi.lift.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Routine5x5.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Routine5x5.java|class:ca.momi.lift.Routine5x5
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Excersize.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Excersize.java|class:ca.momi.lift.Excersize
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/WorkTimer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/WorkTimer.java|class:ca.momi.lift.WorkTimer
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java|class:ca.momi.lift.AssignedExcers
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java|class:ca.momi.lift.AssignedExcers
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Routine531BBB.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/Routine531BBB.java|class:ca.momi.lift.Routine531BBB
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/settings.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/settings.java|class:ca.momi.lift.settings
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/LastWorkout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/LastWorkout.java|class:ca.momi.lift.LastWorkout
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/LastWorkout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/LastWorkout.java|class:ca.momi.lift.LastWorkout
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java|line:112
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java|line:199
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/AssignedExcers.java|line:256
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/lift/app/src/main/java/ca/momi/lift/ExternalStore.java|line:68
