Issue;Tool;Project;File;Location
DebuggableRelease;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/apps/limbo-android-arm/src/com/limbo/emu/main/arm/LimboEmuActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/apps/limbo-android-arm/src/com/limbo/emu/main/arm/LimboEmuActivity.java|class:com.limbo.emu.main.arm.LimboEmuActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java|class:org.libsdl.app.SDLSurface
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java|class:org.libsdl.app.SDLSurface
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java|class:org.libsdl.app.SDLSurface
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLSurface.java|class:org.libsdl.app.SDLSurface
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLActivity.java|class:org.libsdl.app.SDLActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/org/libsdl/app/SDLActivity.java|class:org.libsdl.app.SDLActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/CompactBitmapData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/CompactBitmapData.java|class:android.androidVNC.CompactBitmapData
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/AbstractScaling.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/AbstractScaling.java|class:android.androidVNC.AbstractScaling
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/AbstractScaling.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/AbstractScaling.java|class:android.androidVNC.AbstractScaling
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/CapabilityInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/CapabilityInfo.java|class:android.androidVNC.CapabilityInfo
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/AbstractBitmapDrawable.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/AbstractBitmapDrawable.java|class:android.androidVNC.AbstractBitmapDrawable
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java|class:android.androidVNC.androidVNC
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java|class:android.androidVNC.androidVNC
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java|class:android.androidVNC.androidVNC
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/androidVNC.java|class:android.androidVNC.androidVNC
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/InStream.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/InStream.java|class:android.androidVNC.InStream
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/DPadMouseKeyHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/DPadMouseKeyHandler.java|class:android.androidVNC.DPadMouseKeyHandler
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/Utils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/Utils.java|class:android.androidVNC.Utils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo;/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/DesCipher.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/limbo/src/android/androidVNC/DesCipher.java|class:android.androidVNC.DesCipher
