Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/MainActivity.java|class:org.developfreedom.logmein.ui.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/MainActivity.java|class:org.developfreedom.logmein.ui.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/MainActivity.java|class:org.developfreedom.logmein.ui.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/ManagerUserServices.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/ManagerUserServices.java|class:org.developfreedom.logmein.ui.ManagerUserServices
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/SettingsActivity.java|class:org.developfreedom.logmein.ui.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/ui/SettingsActivity.java|class:org.developfreedom.logmein.ui.SettingsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/DatabaseOpenHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/DatabaseOpenHelper.java|class:org.developfreedom.logmein.DatabaseOpenHelper
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/DatabaseEngine.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/DatabaseEngine.java|class:org.developfreedom.logmein.DatabaseEngine
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/NetworkEngine.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/NetworkEngine.java|class:org.developfreedom.logmein.NetworkEngine
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/LoginService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/logmein-android/app/src/main/java/org/developfreedom/logmein/LoginService.java|class:org.developfreedom.logmein.LoginService
