Issue;Tool;Project;File;Location
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/ReservatorApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/ReservatorApplication.java|class:com.futurice.android.reservator.ReservatorApplication
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/ReservatorApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/ReservatorApplication.java|class:com.futurice.android.reservator.ReservatorApplication
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/ReservatorApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/ReservatorApplication.java|class:com.futurice.android.reservator.ReservatorApplication
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/LoginActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/LoginActivity.java|class:com.futurice.android.reservator.LoginActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/CheckPermissionsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/CheckPermissionsActivity.java|class:com.futurice.android.reservator.CheckPermissionsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/CheckPermissionsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/CheckPermissionsActivity.java|class:com.futurice.android.reservator.CheckPermissionsActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/RoomActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/RoomActivity.java|class:com.futurice.android.reservator.RoomActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/RoomActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/RoomActivity.java|class:com.futurice.android.reservator.RoomActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/LobbyActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/LobbyActivity.java|class:com.futurice.android.reservator.LobbyActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/LobbyActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/meeting-room-tablet/app/src/main/java/com/futurice/android/reservator/LobbyActivity.java|class:com.futurice.android.reservator.LobbyActivity
